Depth (m),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
19.3192,59.48434,1.647201,0.707657,1.069539,1.094711,1.0003,1.012635,1.005122,1536.822
19.4716,57.1926,1.632201,0.708424,1.069174,1.102415,1.013371,1.012107,1.003808,1531.726
19.624,58.90338,1.605116,0.686103,1.060138,1.086539,1.012339,1.028451,1.030383,1523.161
19.7764,58.75917,1.610475,0.678231,1.05766,1.081214,1.010752,1.033677,1.038828,1514.036
19.9288,58.11828,1.612595,0.658135,1.02335,1.066383,1.005889,1.021427,1.037299,1505.02
20.0812,58.41182,1.627415,0.682376,1.018851,1.057035,0.969328,0.997238,1.011099,1496.111
20.2336,58.3564,1.624516,0.644814,1.030715,1.064604,0.967569,0.983456,0.98309,1487.307
20.386,59.04543,1.628363,0.65298,1.021783,1.061307,0.968517,0.99906,1.005306,1478.605
20.5384,59.22337,1.630756,0.6549,1.018143,1.059464,0.967995,1.004585,1.014099,1476.094
20.6908,60.27921,1.627089,0.687334,1.018143,1.059464,0.967995,1.004585,1.014099,1478.512
20.8432,60.76886,1.63986,0.703503,1.049168,1.075726,1.056304,1.070154,1.069933,1481.876
20.9956,59.47831,1.662944,0.744613,1.059542,1.087286,1.08683,1.098951,1.10366,1485.256
21.148,57.20052,1.696983,0.754924,1.061541,1.093678,1.03858,1.056712,1.065902,1488.651
21.3004,56.66497,1.712506,0.708961,1.057207,1.096075,1.019544,1.031905,1.033429,1492.061
21.4528,58.2132,1.711346,0.69389,1.058941,1.099738,0.998288,1.010495,1.01052,1495.487
21.6052,60.26886,1.704479,0.681159,1.065428,1.096608,1.009558,1.022134,1.022555,1498.929
21.7576,60.05499,1.690655,0.68324,1.068357,1.097654,1.013739,1.024205,1.027627,1502.387
21.91,60.9661,1.685827,0.697694,1.068736,1.098358,1.013393,1.023238,1.027562,1505.861
22.0624,60.991,1.69734,0.678996,1.068736,1.098358,1.013393,1.023238,1.027562,1509.351
22.2148,66.78851,1.718581,0.716055,1.081576,1.107447,1.061128,1.072737,1.070597,1512.857
22.3672,78.41936,1.731165,0.730669,1.082448,1.122363,1.075082,1.088846,1.089658,1516.379
22.5196,90.8049,1.72417,0.75171,1.092645,1.120347,1.073809,1.081632,1.085768,1519.918
22.672,97.58919,1.720186,0.738498,1.090248,1.111756,1.073001,1.082036,1.088438,1523.474
22.8244,96.85194,1.717725,0.750197,1.109102,1.139727,1.062533,1.074875,1.082339,1527.046
22.9768,99.20134,1.719156,0.741915,1.11529,1.137088,1.060125,1.074149,1.080293,1527.591
23.1292,99.35678,1.717077,0.742926,1.119642,1.139954,1.065036,1.06782,1.069054,1527.211
23.2816,96.80003,1.720095,0.769085,1.122239,1.136472,1.05795,1.067684,1.068998,1526.831
23.434,90.72533,1.73841,0.762369,1.135278,1.156466,1.084491,1.09432,1.092178,1526.451
23.5864,87.40494,1.759373,0.79485,1.12821,1.171283,1.086652,1.098903,1.10815,1526.753
23.7388,87.4752,1.775791,0.754356,1.115493,1.160864,1.084714,1.097875,1.108957,1527.605
23.8912,90.79698,1.776433,0.791405,1.128879,1.167406,1.097188,1.107582,1.117443,1528.563
24.0436,94.45483,1.767482,0.789107,1.12259,1.169637,1.04922,1.07091,1.085424,1512.325
24.196,97.11059,1.754827,0.759755,1.130494,1.169598,1.082533,1.100848,1.111532,1491.317
24.3484,96.89265,1.73477,0.749389,1.12386,1.164447,1.08446,1.10156,1.109543,1487.024
24.5008,93.32494,1.714931,0.74356,1.133997,1.168176,1.079177,1.090011,1.098411,1487.722
24.6532,90.67598,1.697196,0.823391,1.140864,1.165179,1.101588,1.096094,1.084249,1488.421
24.8056,88.59407,1.705677,0.841075,1.134928,1.172667,1.112374,1.082528,1.05327,1489.12
24.958,89.52589,1.722209,0.794833,1.132866,1.175391,1.113517,1.077651,1.045074,1489.82
25.1104,89.14528,1.736503,0.795118,1.132866,1.175391,1.113517,1.077651,1.045074,1490.52
25.2628,87.66526,1.737644,0.789555,1.132866,1.175391,1.113517,1.077651,1.045074,1491.222
25.4152,85.15624,1.73969,0.841889,1.132866,1.175391,1.113517,1.077651,1.045074,1491.923
25.5676,84.72767,1.741735,0.795935,1.168216,1.197666,1.121305,1.119012,1.111222,1492.626
25.72,84.66001,1.740257,0.808583,1.179209,1.204539,1.12369,1.131931,1.132204,1493.329
25.8724,84.67625,1.738733,0.817324,1.179209,1.204539,1.12369,1.131931,1.132204,1494.033
26.0248,85.47555,1.732965,0.8046,1.153293,1.176369,1.118448,1.132003,1.133499,1494.737
26.1772,82.89468,1.736867,0.806775,1.145507,1.167914,1.116855,1.132025,1.133894,1495.442
26.3296,80.16082,1.726231,0.778362,1.145507,1.167914,1.116855,1.132025,1.133894,1496.148
26.482,77.7307,1.71417,0.784497,1.124277,1.161371,1.046903,1.059386,1.060329,1496.854
26.6344,80.43178,1.698828,0.753493,1.091766,1.1408,1.055297,1.063853,1.063952,1497.562
26.7868,80.30794,1.697262,0.713485,1.088563,1.136482,1.067408,1.07492,1.076255,1498.27
26.9392,80.2384,1.701905,0.714688,1.095423,1.139103,1.035006,1.042331,1.042042,1498.919
27.0916,77.30118,1.70036,0.756418,1.097088,1.139783,1.025044,1.032317,1.031427,1499.552
27.244,76.02351,1.696859,0.766382,1.092304,1.133749,1.04629,1.058929,1.067603,1500.185
27.3964,75.32796,1.69177,0.759204,1.093268,1.139341,1.043885,1.060988,1.065473,1500.818
27.5488,77.05843,1.686356,0.719069,1.112492,1.149496,1.042594,1.059221,1.06026,1501.452
