Depth (m),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
121.7884,78.17319,1.724103,0.949249,0.953176,1.000444,0.916804,0.936877,0.941476,1528.348
121.9408,71.10503,1.705666,1.014592,0.938864,0.996033,0.942762,0.952727,0.958068,1527.857
122.0932,70.53642,1.722392,1.023059,0.937633,0.988133,0.933919,0.948605,0.958662,1527.189
122.2456,77.52985,1.762418,1.024945,0.946804,0.9781,0.926613,0.943413,0.955414,1526.972
122.398,72.98456,1.783809,1.016633,0.943016,0.96933,0.923947,0.943021,0.951063,1526.925
122.5504,77.38237,1.790904,1.035201,0.94899,0.981305,0.926183,0.945506,0.954389,1526.781
122.7028,71.53345,1.793579,0.996202,0.945624,1.001663,0.911514,0.925692,0.935453,1526.354
122.8552,75.62048,1.79516,1.017061,0.94654,0.983586,0.922921,0.936348,0.945644,1525.658
123.0076,81.04359,1.761683,1.024955,0.952066,0.987613,0.91162,0.93314,0.942502,1525.496
123.16,75.64336,1.748866,1.006627,0.94969,0.980698,0.923629,0.942994,0.946158,1526.38
123.3124,75.77371,1.736406,1.005084,0.947173,0.98132,0.945691,0.959949,0.964339,1527.824
123.4648,76.01063,1.746621,1.040016,0.952004,0.97294,0.934512,0.946329,0.955027,1529.209
123.6172,71.81318,1.746604,1.004114,0.95621,0.983062,0.945558,0.953076,0.960062,1530.121
123.7696,73.80328,1.74791,0.994215,0.95347,0.989703,0.966741,0.976133,0.987329,1530.215
123.922,77.60888,1.760939,1.047389,0.95289,0.986758,0.95894,0.97617,0.988399,1529.802
124.0744,80.64745,1.783636,1.042219,0.953462,0.977947,0.938506,0.9563,0.96675,1529.507
124.2268,81.11234,1.797871,1.018921,0.955292,0.987994,0.934657,0.953011,0.958922,1529.278
124.3792,86.37752,1.784159,1.016597,0.961735,0.996385,0.957307,0.966144,0.976124,1529.05
124.5316,81.17369,1.768901,0.995801,0.96003,0.980824,0.935747,0.955959,0.969477,1529.116
124.684,68.15479,1.772399,0.986574,0.954462,0.987861,0.936977,0.957549,0.972642,1529.436
124.8364,64.22775,1.769296,1.014328,0.960437,1.008039,0.951079,0.968435,0.977162,1529.99
124.9888,77.48056,1.753157,1.047351,0.958217,0.994882,0.959253,0.977016,0.993029,1530.884
125.1412,79.72202,1.733438,1.044066,0.955256,1.003125,0.968847,0.986028,1.003929,1531.665
125.2936,69.10891,1.741738,0.986349,0.959836,1.002916,0.967395,0.987879,1.003565,1531.855
125.446,75.6005,1.761482,1.037562,0.964747,1.000949,0.963278,0.983222,1.001201,1531.924
125.5984,74.90794,1.778152,1.035667,0.96613,0.996566,0.969344,0.988155,0.997589,1532.181
125.7508,78.65133,1.781288,0.996405,0.973939,0.989133,0.979339,1.003605,1.016765,1531.989
125.9032,77.76742,1.768488,1.053696,0.958473,0.997181,0.986924,1.010966,1.022875,1530.915
126.0556,76.62342,1.766686,1.033718,0.964799,0.996833,1.019225,1.033791,1.0426,1529.545
126.208,75.07928,1.752586,1.08285,0.9639,1.003515,1.012687,1.030193,1.046464,1528.634
126.3604,74.12406,1.73567,0.987233,0.970788,1.000178,0.976742,1.003228,1.013769,1527.399
