Depth (mbsf),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
63.9724,67.22871,1.839765,1.173679,1.117067,1.149143,1.068101,1.073845,1.077622,1556.066
64.1248,65.57715,1.849522,1.188126,1.11827,1.153587,1.070968,1.077998,1.082567,1556.327
64.2772,66.37938,1.859901,1.17014,1.117795,1.154216,1.067804,1.074817,1.077699,1556.588
64.4296,67.78112,1.863181,1.179737,1.12269,1.152111,1.066308,1.072248,1.073571,1556.848
64.582,68.67127,1.861577,1.192257,1.125172,1.153939,1.076081,1.080816,1.083025,1557.109
64.7344,68.10192,1.856331,1.198522,1.123769,1.159718,1.084211,1.089457,1.093694,1557.37
64.8868,69.36399,1.853788,1.182818,1.121779,1.165759,1.082868,1.088658,1.093438,1557.631
65.0392,70.45011,1.848033,1.182401,1.123669,1.164142,1.07503,1.081325,1.086757,1557.893
65.1916,72.28885,1.845632,1.191748,1.121908,1.163742,1.070191,1.078065,1.081856,1558.154
65.344,71.30015,1.838435,1.182063,1.123985,1.1633,1.068712,1.07796,1.080953,1558.43
65.4964,71.24824,1.837539,1.168924,1.132862,1.16976,1.062014,1.069313,1.07247,1558.875
65.6488,69.72214,1.836161,1.19287,1.135112,1.168387,1.067341,1.072979,1.075205,1559.476
65.8012,71.05746,1.842643,1.214982,1.142022,1.175156,1.081356,1.086211,1.089886,1560.112
65.9536,69.37356,1.847643,1.223853,1.149148,1.181951,1.09656,1.102602,1.10709,1560.75
66.106,70.4167,1.849787,1.244414,1.150847,1.180981,1.104253,1.112248,1.116471,1561.388
66.2584,69.04922,1.848444,1.222025,1.156463,1.182564,1.107806,1.115275,1.120124,1562.027
66.4108,69.33649,1.852113,1.231932,1.162477,1.189197,1.107378,1.113376,1.11689,1562.681
66.5632,68.16299,1.854294,1.235285,1.162355,1.192486,1.112372,1.119177,1.124456,1563.4
66.7156,68.23982,1.854862,1.223727,1.165002,1.188935,1.111502,1.119909,1.124379,1564.152
66.868,68.68414,1.854637,1.224042,1.167939,1.192926,1.108776,1.117758,1.121532,1564.91
67.0204,68.36457,1.851574,1.234639,1.165985,1.192428,1.106342,1.112711,1.117035,1565.669
67.1728,66.97841,1.858395,1.19892,1.162968,1.190542,1.108754,1.115864,1.120396,1566.428
67.3252,67.80082,1.860608,1.22458,1.158499,1.191957,1.109089,1.118299,1.12351,1567.17
67.4776,66.90448,1.864655,1.220941,1.15813,1.186108,1.104744,1.115439,1.120876,1567.221
67.63,67.26639,1.860947,1.201022,1.155442,1.175686,1.094233,1.104615,1.109535,1565.988
67.7824,64.78783,1.863149,1.194785,1.152807,1.175696,1.087937,1.097103,1.101399,1564.333
67.9348,65.232,1.86629,1.199181,1.149042,1.172133,1.094431,1.10162,1.107263,1562.653
68.0872,66.59597,1.863089,1.206775,1.143427,1.174297,1.098151,1.106335,1.111641,1560.976
68.2396,67.81562,1.866779,1.20828,1.140637,1.172124,1.094226,1.101034,1.104431,1559.303
68.392,68.15158,1.873062,1.224502,1.138129,1.167354,1.095986,1.101861,1.106195,1557.733
68.5444,66.66888,1.88162,1.215604,1.130898,1.162729,1.093581,1.101435,1.107686,1557.306
68.6968,66.73179,1.876415,1.195399,1.12066,1.156605,1.082095,1.090139,1.096012,1557.923
68.8492,68.44472,1.870043,1.180942,1.117241,1.158971,1.061044,1.068537,1.075762,1558.775
69.0016,69.95813,1.866652,1.200413,1.109789,1.155084,1.047954,1.054753,1.060771,1559.634
69.154,71.99388,1.86453,1.232448,1.108402,1.153859,1.047276,1.053536,1.057699,1560.494
69.3064,74.54876,1.87066,1.267913,1.108971,1.150871,1.046258,1.052949,1.056734,1561.357
69.4588,74.5355,1.875128,1.200886,1.10891,1.151384,1.056589,1.062592,1.065938,1562.451
69.6112,71.7617,1.884805,1.190912,1.11404,1.150942,1.072812,1.080129,1.084227,1564.542
69.7636,70.09089,1.88603,1.195092,1.118923,1.152214,1.085457,1.092059,1.095757,1567.15
69.916,69.47654,1.890162,1.205901,1.127569,1.158671,1.09622,1.102005,1.105626,1569.375
70.0684,70.55756,1.885188,1.205914,1.13605,1.166465,1.104278,1.112849,1.117074,1569.611
70.2208,72.06583,1.881621,1.207281,1.142761,1.164853,1.105121,1.11292,1.117675,1568.819
70.3732,72.01299,1.876631,1.164128,1.142799,1.172456,1.105238,1.11066,1.113891,1567.885
70.5256,70.47214,1.880663,1.159157,1.143513,1.171701,1.100574,1.10701,1.109519,1566.95
70.678,69.08202,1.886645,1.160321,1.140679,1.171088,1.097691,1.104901,1.108334,1566.017
70.8304,71.43415,1.883956,1.159432,1.140365,1.172166,1.09091,1.099612,1.103624,1565.085
70.9828,74.70842,1.871109,1.170859,1.14211,1.171647,1.086281,1.093414,1.098033,1564.153
71.1352,74.06754,1.859312,1.16595,1.142329,1.172049,1.08411,1.090295,1.094707,1563.223
71.2876,70.42399,1.843611,1.173606,1.139302,1.169138,1.083384,1.089953,1.09274,1562.294
71.44,67.43652,1.834819,1.16393,1.138395,1.174273,1.083126,1.089523,1.090706,1561.367
71.5924,65.15807,1.828313,1.148538,1.137736,1.169982,1.082857,1.089743,1.090837,1560.44
71.7448,67.06416,1.829236,1.175962,1.131479,1.166802,1.081598,1.089551,1.092159,1559.514
71.8972,68.37201,1.829682,1.163957,1.129762,1.166394,1.083345,1.089227,1.095585,1558.666
72.0496,69.35107,1.82279,1.167882,1.129835,1.164654,1.077766,1.082738,1.088799,1558.694
72.202,72.34914,1.815826,1.158478,1.129837,1.162204,1.074501,1.078959,1.083918,1559.522
72.3544,73.70582,1.811812,1.173786,1.12636,1.163779,1.076827,1.083612,1.087098,1560.533
