Depth (mbsf),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
42.3316,87.27538,1.805274,0.946438,1.430125,1.713218,1.269982,1.29485,1.283239,1522.957
42.484,87.46867,1.792339,1.033712,1.584928,1.831247,1.324069,1.354956,1.334444,1523.119
42.6364,86.96426,1.788156,1.113375,1.801961,2.035208,1.428662,1.478064,1.504358,1523.202
42.7888,86.40273,1.789293,1.181535,1.857468,2.091967,1.456972,1.5118,1.554664,1523.275
42.9412,88.00213,1.79239,1.319819,2.241789,2.393219,1.739467,1.779888,1.84219,1523.354
43.0936,86.44056,1.785718,1.6114,2.374041,2.493393,1.836009,1.870691,1.939979,1525.279
43.246,83.71479,1.76941,1.829694,2.67949,2.638881,2.045755,2.115834,2.158352,1534.455
43.3984,81.2513,1.755804,1.707822,2.676207,2.607451,2.145066,2.18222,2.219209,1540.725
43.5508,83.07887,1.747187,1.452955,2.940439,2.722272,2.055416,2.190598,2.23399,1543.413
43.7032,89.80597,1.735044,1.31715,3.083189,2.781568,1.95917,2.191203,2.397168,1540.86
43.8556,95.9907,1.722198,1.330942,3.249002,2.829729,1.964604,2.152555,2.30152,1536.786
44.008,96.60165,1.700531,1.428243,3.21324,2.825422,2.14701,2.283613,2.280446,1532.693
44.1604,90.15202,1.694657,1.486408,3.035796,2.73806,2.132037,2.276189,2.273468,1528.622
44.3128,91.10378,1.690925,1.565583,2.764137,2.607261,2.152933,2.222383,2.275009,1524.572
44.4652,97.77415,1.687318,1.559351,2.623875,2.580929,2.039562,2.146632,2.229623,1520.544
44.6176,107.2423,1.677562,1.264463,2.32959,2.324265,1.884211,1.961053,2.042524,1516.54
44.77,101.5616,1.67799,1.032098,2.252498,2.250808,1.849558,1.912985,1.992549,1513.073
44.9224,91.08711,1.680564,0.930065,1.792618,1.882392,1.293646,1.354325,1.40829,1511.837
45.0748,82.53442,1.69147,0.910385,1.672088,1.782581,1.1601,1.21901,1.266935,1511.744
45.2272,79.5075,1.695435,0.857752,1.672088,1.782581,1.1601,1.21901,1.266935,1511.814
45.3796,79.99783,1.709769,0.880614,1.600835,1.669723,1.140256,1.195447,1.230948,1511.902
45.532,78.60162,1.733262,0.939651,1.551226,1.615817,1.175346,1.231603,1.271326,1512.008
45.6844,79.53117,1.747542,0.952788,1.523092,1.561006,1.21269,1.26627,1.311793,1512.117
45.8368,77.68533,1.760165,0.968124,1.463009,1.479958,1.216754,1.274681,1.333918,1512.226
45.9892,75.28459,1.759543,0.902912,1.407981,1.416745,1.241825,1.286236,1.341665,1512.335
46.1416,73.3341,1.763752,0.824232,1.395562,1.40363,1.23203,1.288041,1.354227,1512.448
46.294,72.5257,1.750916,0.773987,1.395327,1.403595,1.226634,1.287566,1.357771,1513.106
46.4464,72.22037,1.741947,0.738082,1.354148,1.370076,1.186848,1.229671,1.278948,1516.117
46.5988,76.09223,1.742477,0.726278,1.227138,1.2414,1.066376,1.089386,1.109248,1519.802
46.7512,78.84541,1.752872,0.715071,1.150589,1.171861,1.026938,1.045427,1.059953,1521.268
46.9036,82.51932,1.75183,0.687459,1.131354,1.162694,1.022658,1.0364,1.049909,1521.498
47.056,82.25747,1.741556,0.668598,1.121565,1.149511,1.016319,1.031032,1.04522,1521.554
47.2084,82.03902,1.732325,0.675377,1.075393,1.107975,1.00643,1.019695,1.025824,1521.608
47.3608,84.41488,1.731138,0.664885,1.078804,1.100624,1.003208,1.014683,1.022865,1521.657
47.5132,84.18067,1.732736,0.653315,1.043326,1.077635,0.978486,0.988382,0.993024,1520.897
47.6656,84.57518,1.72724,0.653075,1.019328,1.053939,0.973544,0.974032,0.974075,1516.671
47.818,83.78638,1.721301,0.673201,1.009515,1.041719,0.974555,0.97582,0.978538,1510.697
47.9704,85.79777,1.722798,0.672399,0.996592,1.018194,0.981179,0.988543,0.9883,1504.827
48.1228,88.81858,1.733673,0.660784,0.993237,1.018901,0.971276,0.976796,0.980192,1502.441
48.2752,89.42281,1.748638,0.645497,0.989495,1.02632,0.971676,0.975843,0.975702,1503.216
48.4276,89.37579,1.737769,0.648521,0.988359,1.027922,0.972899,0.976962,0.975293,1504.778
48.58,90.2284,1.718306,0.653309,0.988283,1.030132,0.972097,0.976047,0.978075,1507.213
48.7324,90.50372,1.701263,0.651563,0.98826,1.030806,0.971853,0.975768,0.978925,1510.44
48.8848,89.43572,1.710155,0.650819,0.992275,1.038532,0.965247,0.970461,0.973128,1513.857
49.0372,86.67411,1.723166,0.664476,1.007987,1.057006,0.980764,0.990466,0.999284,1517.294
49.1896,84.44218,1.737535,0.678975,1.010356,1.065702,0.979451,0.992247,1.007455,1520.481
49.342,84.81919,1.74643,0.710657,1.054146,1.098313,0.995215,1.021699,1.025425,1520.628
49.4944,83.32806,1.754381,0.719128,1.089729,1.12254,1.015298,1.044031,1.042901,1517.991
49.6468,80.81178,1.778159,0.720107,1.096417,1.126982,1.019788,1.047936,1.046552,1514.915
49.7992,77.22742,1.796804,0.769358,1.096417,1.126982,1.019788,1.047936,1.046552,1513.763
49.9516,73.94772,1.785174,0.762153,1.153033,1.190908,1.110575,1.148519,1.158193,1514.186
50.104,72.10753,1.750046,0.803985,1.179897,1.232959,1.14463,1.172047,1.187188,1514.893
50.2564,70.97572,1.703777,0.829174,1.205756,1.263665,1.168598,1.204023,1.234522,1515.594
50.4088,69.206,1.702128,0.797918,1.212883,1.271062,1.175543,1.214806,1.250038,1516.295
50.5612,70.29148,1.756024,0.815397,1.256764,1.283815,1.153442,1.192286,1.226668,1516.997
50.7136,71.67192,1.841184,0.787011,1.270452,1.287727,1.146789,1.185505,1.219632,1517.349
50.866,75.27398,1.883079,0.829131,1.334768,1.35433,1.189644,1.236657,1.303202,1513.703
51.0184,73.4669,1.858353,0.889831,1.347359,1.351737,1.17072,1.205976,1.263553,1506.459
