Depth (mbsf),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
55.0372,83.00439,1.769911,1.068018,1.057492,1.087135,1.002393,1.017189,1.020613,1524.585
55.1896,81.35412,1.771609,1.076869,1.049246,1.069309,1.004549,1.020599,1.027597,1524.245
55.342,80.62653,1.777018,1.050317,1.042708,1.081425,0.996019,1.008683,1.01588,1523.168
55.4944,81.51827,1.787394,1.037585,1.040467,1.064203,0.994372,1.005058,1.002298,1521.649
55.6468,75.67493,1.790057,1.049671,1.038339,1.068774,0.991193,1.001512,1.006779,1520.714
55.7992,83.51079,1.793757,1.033865,1.026877,1.058952,0.990714,1.000694,1.004112,1521.256
55.9516,86.36862,1.798075,1.056729,1.03566,1.049807,0.985547,0.996771,1.000113,1521.523
56.104,82.01608,1.807383,1.042135,1.031838,1.057098,0.989093,0.997448,1.004884,1520.233
56.2564,83.39588,1.805862,1.075172,1.01862,1.055671,0.98104,0.993075,0.996686,1519.143
56.4088,86.48721,1.794353,1.053871,1.020735,1.04924,0.984136,0.993175,0.99853,1518.469
56.5612,83.05638,1.793301,1.014945,1.023966,1.047708,0.983555,0.990527,0.9925,1518.433
56.7136,86.24152,1.799769,1.032584,1.028554,1.053642,0.979018,0.98947,0.998521,1519.695
56.866,86.95348,1.805099,1.054808,1.028808,1.052172,0.978503,0.988271,0.995315,1520.485
57.0184,79.04259,1.80647,1.054143,1.028813,1.053957,0.984326,0.992088,0.993657,1520.561
57.1708,79.84486,1.814171,1.043676,1.024589,1.050039,0.989026,0.997859,1.001424,1520.997
57.3232,79.33112,1.81834,1.049198,1.031557,1.070329,0.987738,0.997012,1.001444,1522.307
57.4756,82.60381,1.818624,1.050322,1.045183,1.047449,0.989142,0.998785,1.001249,1523.984
57.628,78.14268,1.81366,1.049168,1.031915,1.043435,0.990896,1.002947,1.011873,1524.659
57.7804,84.78043,1.816693,1.053245,1.037795,1.050047,0.976945,0.990703,0.996353,1524.703
57.9328,88.14934,1.808724,1.059776,1.034681,1.065467,0.977471,0.995318,1.00167,1524.79
58.0852,80.39902,1.793132,1.048934,1.034581,1.047507,0.973699,0.985159,0.990625,1524.309
